track,metric,bin_lo,bin_hi,count
toolseg31_vs_canonical_toolbbox,inclusion,0.38,0.4,26
toolseg31_vs_canonical_toolbbox,inclusion,0.4,0.42,37
toolseg31_vs_canonical_toolbbox,inclusion,0.42,0.44,44
toolseg31_vs_canonical_toolbbox,inclusion,0.44,0.46,46
toolseg31_vs_canonical_toolbbox,inclusion,0.46,0.48,34
toolseg31_vs_canonical_toolbbox,inclusion,0.48,0.5,34
toolseg31_vs_canonical_toolbbox,inclusion,0.5,0.52,41
toolseg31_vs_canonical_toolbbox,inclusion,0.52,0.54,33
toolseg31_vs_canonical_toolbbox,inclusion,0.54,0.56,43
toolseg31_vs_canonical_toolbbox,inclusion,0.56,0.58,36
toolseg31_vs_canonical_toolbbox,inclusion,0.58,0.6,37
toolseg31_vs_canonical_toolbbox,inclusion,0.6,0.62,51
toolseg31_vs_canonical_toolbbox,inclusion,0.62,0.64,58
toolseg31_vs_canonical_toolbbox,inclusion,0.64,0.66,56
toolseg31_vs_canonical_toolbbox,inclusion,0.66,0.68,57
toolseg31_vs_canonical_toolbbox,inclusion,0.68,0.7,96
toolseg31_vs_canonical_toolbbox,inclusion,0.7,0.72,121
toolseg31_vs_canonical_toolbbox,inclusion,0.72,0.74,170
toolseg31_vs_canonical_toolbbox,inclusion,0.74,0.76,218
toolseg31_vs_canonical_toolbbox,inclusion,0.76,0.78,269
toolseg31_vs_canonical_toolbbox,inclusion,0.78,0.8,360
toolseg31_vs_canonical_toolbbox,inclusion,0.8,0.82,458
toolseg31_vs_canonical_toolbbox,inclusion,0.82,0.84,627
toolseg31_vs_canonical_toolbbox,inclusion,0.84,0.86,832
toolseg31_vs_canonical_toolbbox,inclusion,0.86,0.88,1068
toolseg31_vs_canonical_toolbbox,inclusion,0.88,0.9,1539
toolseg31_vs_canonical_toolbbox,inclusion,0.9,0.92,2001
toolseg31_vs_canonical_toolbbox,inclusion,0.92,0.94,2781
toolseg31_vs_canonical_toolbbox,inclusion,0.94,0.96,3948
toolseg31_vs_canonical_toolbbox,inclusion,0.96,0.98,6031
toolseg31_vs_canonical_toolbbox,inclusion,0.98,1.0,23697
toolseg31_vs_canonical_toolbbox,fill,0.0,0.02,458
toolseg31_vs_canonical_toolbbox,fill,0.02,0.04,561
toolseg31_vs_canonical_toolbbox,fill,0.04,0.06,1724
toolseg31_vs_canonical_toolbbox,fill,0.06,0.08,2960
toolseg31_vs_canonical_toolbbox,fill,0.08,0.1,3324
toolseg31_vs_canonical_toolbbox,fill,0.1,0.12,3287
toolseg31_vs_canonical_toolbbox,fill,0.12,0.14,2989
toolseg31_vs_canonical_toolbbox,fill,0.14,0.16,2615
toolseg31_vs_canonical_toolbbox,fill,0.16,0.18,2360
toolseg31_vs_canonical_toolbbox,fill,0.18,0.2,2101
toolseg31_vs_canonical_toolbbox,fill,0.2,0.22,1877
toolseg31_vs_canonical_toolbbox,fill,0.22,0.24,1729
toolseg31_vs_canonical_toolbbox,fill,0.24,0.26,1742
toolseg31_vs_canonical_toolbbox,fill,0.26,0.28,1649
toolseg31_vs_canonical_toolbbox,fill,0.28,0.3,1433
toolseg31_vs_canonical_toolbbox,fill,0.3,0.32,1351
toolseg31_vs_canonical_toolbbox,fill,0.32,0.34,1242
toolseg31_vs_canonical_toolbbox,fill,0.34,0.36,1080
toolseg31_vs_canonical_toolbbox,fill,0.36,0.38,1032
toolseg31_vs_canonical_toolbbox,fill,0.38,0.4,1047
toolseg31_vs_canonical_toolbbox,fill,0.4,0.42,977
toolseg31_vs_canonical_toolbbox,fill,0.42,0.44,861
toolseg31_vs_canonical_toolbbox,fill,0.44,0.46,820
toolseg31_vs_canonical_toolbbox,fill,0.46,0.48,752
toolseg31_vs_canonical_toolbbox,fill,0.48,0.5,759
toolseg31_vs_canonical_toolbbox,fill,0.5,0.52,700
toolseg31_vs_canonical_toolbbox,fill,0.52,0.54,626
toolseg31_vs_canonical_toolbbox,fill,0.54,0.56,546
toolseg31_vs_canonical_toolbbox,fill,0.56,0.58,461
toolseg31_vs_canonical_toolbbox,fill,0.58,0.6,412
toolseg31_vs_canonical_toolbbox,fill,0.6,0.62,382
toolseg31_vs_canonical_toolbbox,fill,0.62,0.64,351
toolseg31_vs_canonical_toolbbox,fill,0.64,0.66,268
toolseg31_vs_canonical_toolbbox,fill,0.66,0.68,218
toolseg31_vs_canonical_toolbbox,fill,0.68,0.7,206
toolseg31_vs_canonical_toolbbox,fill,0.7,0.72,129
toolseg31_vs_canonical_toolbbox,fill,0.72,0.74,126
toolseg31_vs_canonical_toolbbox,fill,0.74,0.76,109
toolseg31_vs_canonical_toolbbox,fill,0.76,0.78,71
toolseg31_vs_canonical_toolbbox,fill,0.78,0.8,58
toolseg31_vs_canonical_toolbbox,fill,0.8,0.82,43
toolseg31_vs_canonical_toolbbox,fill,0.82,0.84,34
toolseg31_vs_canonical_toolbbox,fill,0.84,0.86,15
toolseg31_vs_canonical_toolbbox,fill,0.86,0.88,15
toolseg31_vs_canonical_toolbbox,fill,0.88,0.9,14
toolseg31_vs_canonical_toolbbox,fill,0.9,0.92,10
toolseg31_vs_canonical_toolbbox,fill,0.92,0.94,9
toolseg31_vs_canonical_toolbbox,fill,0.94,0.96,10
toolseg31_vs_canonical_toolbbox,fill,0.96,0.98,4
toolseg31_vs_canonical_toolbbox,fill,0.98,1.0,36
HTtool_vs_canonical_toolbbox,iou,0.0,0.02,57
HTtool_vs_canonical_toolbbox,iou,0.02,0.04,41
HTtool_vs_canonical_toolbbox,iou,0.04,0.06,46
HTtool_vs_canonical_toolbbox,iou,0.06,0.08,49
HTtool_vs_canonical_toolbbox,iou,0.08,0.1,31
HTtool_vs_canonical_toolbbox,iou,0.1,0.12,26
HTtool_vs_canonical_toolbbox,iou,0.12,0.14,31
HTtool_vs_canonical_toolbbox,iou,0.14,0.16,19
HTtool_vs_canonical_toolbbox,iou,0.16,0.18,28
HTtool_vs_canonical_toolbbox,iou,0.18,0.2,22
HTtool_vs_canonical_toolbbox,iou,0.2,0.22,16
HTtool_vs_canonical_toolbbox,iou,0.22,0.24,22
HTtool_vs_canonical_toolbbox,iou,0.24,0.26,14
HTtool_vs_canonical_toolbbox,iou,0.26,0.28,15
HTtool_vs_canonical_toolbbox,iou,0.28,0.3,15
HTtool_vs_canonical_toolbbox,iou,0.3,0.32,18
HTtool_vs_canonical_toolbbox,iou,0.32,0.34,23
HTtool_vs_canonical_toolbbox,iou,0.34,0.36,13
HTtool_vs_canonical_toolbbox,iou,0.36,0.38,25
HTtool_vs_canonical_toolbbox,iou,0.38,0.4,32
HTtool_vs_canonical_toolbbox,iou,0.4,0.42,24
HTtool_vs_canonical_toolbbox,iou,0.42,0.44,27
HTtool_vs_canonical_toolbbox,iou,0.44,0.46,38
HTtool_vs_canonical_toolbbox,iou,0.46,0.48,37
HTtool_vs_canonical_toolbbox,iou,0.48,0.5,39
HTtool_vs_canonical_toolbbox,iou,0.5,0.52,35
HTtool_vs_canonical_toolbbox,iou,0.52,0.54,62
HTtool_vs_canonical_toolbbox,iou,0.54,0.56,70
HTtool_vs_canonical_toolbbox,iou,0.56,0.58,82
HTtool_vs_canonical_toolbbox,iou,0.58,0.6,96
HTtool_vs_canonical_toolbbox,iou,0.6,0.62,106
HTtool_vs_canonical_toolbbox,iou,0.62,0.64,124
HTtool_vs_canonical_toolbbox,iou,0.64,0.66,140
HTtool_vs_canonical_toolbbox,iou,0.66,0.68,150
HTtool_vs_canonical_toolbbox,iou,0.68,0.7,190
HTtool_vs_canonical_toolbbox,iou,0.7,0.72,242
HTtool_vs_canonical_toolbbox,iou,0.72,0.74,271
HTtool_vs_canonical_toolbbox,iou,0.74,0.76,347
HTtool_vs_canonical_toolbbox,iou,0.76,0.78,400
HTtool_vs_canonical_toolbbox,iou,0.78,0.8,451
HTtool_vs_canonical_toolbbox,iou,0.8,0.82,520
HTtool_vs_canonical_toolbbox,iou,0.82,0.84,643
HTtool_vs_canonical_toolbbox,iou,0.84,0.86,808
HTtool_vs_canonical_toolbbox,iou,0.86,0.88,947
HTtool_vs_canonical_toolbbox,iou,0.88,0.9,1152
HTtool_vs_canonical_toolbbox,iou,0.9,0.92,1352
HTtool_vs_canonical_toolbbox,iou,0.92,0.94,1590
HTtool_vs_canonical_toolbbox,iou,0.94,0.96,1807
HTtool_vs_canonical_toolbbox,iou,0.96,0.98,1770
HTtool_vs_canonical_toolbbox,iou,0.98,1.0,956
HTtool_vs_canonical_toolbbox,inclusion,0.0,0.02,36
HTtool_vs_canonical_toolbbox,inclusion,0.02,0.04,25
HTtool_vs_canonical_toolbbox,inclusion,0.04,0.06,27
HTtool_vs_canonical_toolbbox,inclusion,0.06,0.08,33
HTtool_vs_canonical_toolbbox,inclusion,0.08,0.1,20
HTtool_vs_canonical_toolbbox,inclusion,0.1,0.12,20
HTtool_vs_canonical_toolbbox,inclusion,0.12,0.14,22
HTtool_vs_canonical_toolbbox,inclusion,0.14,0.16,18
HTtool_vs_canonical_toolbbox,inclusion,0.16,0.18,18
HTtool_vs_canonical_toolbbox,inclusion,0.18,0.2,16
HTtool_vs_canonical_toolbbox,inclusion,0.2,0.22,16
HTtool_vs_canonical_toolbbox,inclusion,0.22,0.24,10
HTtool_vs_canonical_toolbbox,inclusion,0.24,0.26,19
HTtool_vs_canonical_toolbbox,inclusion,0.26,0.28,17
HTtool_vs_canonical_toolbbox,inclusion,0.28,0.3,9
HTtool_vs_canonical_toolbbox,inclusion,0.3,0.32,12
HTtool_vs_canonical_toolbbox,inclusion,0.32,0.34,9
HTtool_vs_canonical_toolbbox,inclusion,0.34,0.36,9
HTtool_vs_canonical_toolbbox,inclusion,0.36,0.38,8
HTtool_vs_canonical_toolbbox,inclusion,0.38,0.4,6
HTtool_vs_canonical_toolbbox,inclusion,0.4,0.42,10
HTtool_vs_canonical_toolbbox,inclusion,0.42,0.44,5
HTtool_vs_canonical_toolbbox,inclusion,0.44,0.46,13
HTtool_vs_canonical_toolbbox,inclusion,0.46,0.48,4
HTtool_vs_canonical_toolbbox,inclusion,0.48,0.5,5
HTtool_vs_canonical_toolbbox,inclusion,0.5,0.52,4
HTtool_vs_canonical_toolbbox,inclusion,0.52,0.54,5
HTtool_vs_canonical_toolbbox,inclusion,0.54,0.56,3
HTtool_vs_canonical_toolbbox,inclusion,0.56,0.58,6
HTtool_vs_canonical_toolbbox,inclusion,0.58,0.6,8
HTtool_vs_canonical_toolbbox,inclusion,0.6,0.62,6
HTtool_vs_canonical_toolbbox,inclusion,0.62,0.64,2
HTtool_vs_canonical_toolbbox,inclusion,0.64,0.66,7
HTtool_vs_canonical_toolbbox,inclusion,0.66,0.68,7
HTtool_vs_canonical_toolbbox,inclusion,0.68,0.7,7
HTtool_vs_canonical_toolbbox,inclusion,0.7,0.72,10
HTtool_vs_canonical_toolbbox,inclusion,0.72,0.74,15
HTtool_vs_canonical_toolbbox,inclusion,0.74,0.76,25
HTtool_vs_canonical_toolbbox,inclusion,0.76,0.78,39
HTtool_vs_canonical_toolbbox,inclusion,0.78,0.8,67
HTtool_vs_canonical_toolbbox,inclusion,0.8,0.82,62
HTtool_vs_canonical_toolbbox,inclusion,0.82,0.84,109
HTtool_vs_canonical_toolbbox,inclusion,0.84,0.86,148
HTtool_vs_canonical_toolbbox,inclusion,0.86,0.88,203
HTtool_vs_canonical_toolbbox,inclusion,0.88,0.9,311
HTtool_vs_canonical_toolbbox,inclusion,0.9,0.92,385
HTtool_vs_canonical_toolbbox,inclusion,0.92,0.94,538
HTtool_vs_canonical_toolbbox,inclusion,0.94,0.96,824
HTtool_vs_canonical_toolbbox,inclusion,0.96,0.98,1427
HTtool_vs_canonical_toolbbox,inclusion,0.98,1.0,10414
HTtool_vs_canonical_toolbbox,fill,0.0,0.02,16
HTtool_vs_canonical_toolbbox,fill,0.02,0.04,93
HTtool_vs_canonical_toolbbox,fill,0.04,0.06,536
HTtool_vs_canonical_toolbbox,fill,0.06,0.08,1143
HTtool_vs_canonical_toolbbox,fill,0.08,0.1,1488
HTtool_vs_canonical_toolbbox,fill,0.1,0.12,1502
HTtool_vs_canonical_toolbbox,fill,0.12,0.14,1387
HTtool_vs_canonical_toolbbox,fill,0.14,0.16,1111
HTtool_vs_canonical_toolbbox,fill,0.16,0.18,914
HTtool_vs_canonical_toolbbox,fill,0.18,0.2,723
HTtool_vs_canonical_toolbbox,fill,0.2,0.22,628
HTtool_vs_canonical_toolbbox,fill,0.22,0.24,551
HTtool_vs_canonical_toolbbox,fill,0.24,0.26,517
HTtool_vs_canonical_toolbbox,fill,0.26,0.28,468
HTtool_vs_canonical_toolbbox,fill,0.28,0.3,406
HTtool_vs_canonical_toolbbox,fill,0.3,0.32,377
HTtool_vs_canonical_toolbbox,fill,0.32,0.34,339
HTtool_vs_canonical_toolbbox,fill,0.34,0.36,292
HTtool_vs_canonical_toolbbox,fill,0.36,0.38,259
HTtool_vs_canonical_toolbbox,fill,0.38,0.4,238
HTtool_vs_canonical_toolbbox,fill,0.4,0.42,238
HTtool_vs_canonical_toolbbox,fill,0.42,0.44,210
HTtool_vs_canonical_toolbbox,fill,0.44,0.46,197
HTtool_vs_canonical_toolbbox,fill,0.46,0.48,160
HTtool_vs_canonical_toolbbox,fill,0.48,0.5,174
HTtool_vs_canonical_toolbbox,fill,0.5,0.52,152
HTtool_vs_canonical_toolbbox,fill,0.52,0.54,154
HTtool_vs_canonical_toolbbox,fill,0.54,0.56,115
HTtool_vs_canonical_toolbbox,fill,0.56,0.58,96
HTtool_vs_canonical_toolbbox,fill,0.58,0.6,72
HTtool_vs_canonical_toolbbox,fill,0.6,0.62,70
HTtool_vs_canonical_toolbbox,fill,0.62,0.64,59
HTtool_vs_canonical_toolbbox,fill,0.64,0.66,50
HTtool_vs_canonical_toolbbox,fill,0.66,0.68,22
HTtool_vs_canonical_toolbbox,fill,0.68,0.7,37
HTtool_vs_canonical_toolbbox,fill,0.7,0.72,29
HTtool_vs_canonical_toolbbox,fill,0.72,0.74,25
HTtool_vs_canonical_toolbbox,fill,0.74,0.76,13
HTtool_vs_canonical_toolbbox,fill,0.76,0.78,9
HTtool_vs_canonical_toolbbox,fill,0.78,0.8,10
HTtool_vs_canonical_toolbbox,fill,0.8,0.82,5
HTtool_vs_canonical_toolbbox,fill,0.82,0.84,3
HTtool_vs_canonical_toolbbox,fill,0.84,0.86,2
HTtool_vs_canonical_toolbbox,fill,0.86,0.88,2
HTtool_vs_canonical_toolbbox,fill,0.88,0.9,4
HTtool_vs_canonical_toolbbox,fill,0.9,0.92,4
HTtool_vs_canonical_toolbbox,fill,0.92,0.94,4
HTtool_vs_canonical_toolbbox,fill,0.94,0.96,1
HTtool_vs_canonical_toolbbox,fill,0.96,0.98,2
HTtool_vs_canonical_toolbbox,fill,0.98,1.0,112
HThand_vs_handbbox,iou,0.0,0.02,131
HThand_vs_handbbox,iou,0.02,0.04,136
HThand_vs_handbbox,iou,0.04,0.06,132
HThand_vs_handbbox,iou,0.06,0.08,134
HThand_vs_handbbox,iou,0.08,0.1,129
HThand_vs_handbbox,iou,0.1,0.12,129
HThand_vs_handbbox,iou,0.12,0.14,131
HThand_vs_handbbox,iou,0.14,0.16,148
HThand_vs_handbbox,iou,0.16,0.18,146
HThand_vs_handbbox,iou,0.18,0.2,155
HThand_vs_handbbox,iou,0.2,0.22,156
HThand_vs_handbbox,iou,0.22,0.24,167
HThand_vs_handbbox,iou,0.24,0.26,157
HThand_vs_handbbox,iou,0.26,0.28,152
HThand_vs_handbbox,iou,0.28,0.3,168
HThand_vs_handbbox,iou,0.3,0.32,164
HThand_vs_handbbox,iou,0.32,0.34,181
HThand_vs_handbbox,iou,0.34,0.36,168
HThand_vs_handbbox,iou,0.36,0.38,200
HThand_vs_handbbox,iou,0.38,0.4,181
HThand_vs_handbbox,iou,0.4,0.42,198
HThand_vs_handbbox,iou,0.42,0.44,161
HThand_vs_handbbox,iou,0.44,0.46,196
HThand_vs_handbbox,iou,0.46,0.48,170
HThand_vs_handbbox,iou,0.48,0.5,174
HThand_vs_handbbox,iou,0.5,0.52,211
HThand_vs_handbbox,iou,0.52,0.54,211
HThand_vs_handbbox,iou,0.54,0.56,191
HThand_vs_handbbox,iou,0.56,0.58,202
HThand_vs_handbbox,iou,0.58,0.6,195
HThand_vs_handbbox,iou,0.6,0.62,171
HThand_vs_handbbox,iou,0.62,0.64,193
HThand_vs_handbbox,iou,0.64,0.66,224
HThand_vs_handbbox,iou,0.66,0.68,201
HThand_vs_handbbox,iou,0.68,0.7,208
HThand_vs_handbbox,iou,0.7,0.72,247
HThand_vs_handbbox,iou,0.72,0.74,217
HThand_vs_handbbox,iou,0.74,0.76,275
HThand_vs_handbbox,iou,0.76,0.78,314
HThand_vs_handbbox,iou,0.78,0.8,333
HThand_vs_handbbox,iou,0.8,0.82,395
HThand_vs_handbbox,iou,0.82,0.84,453
HThand_vs_handbbox,iou,0.84,0.86,546
HThand_vs_handbbox,iou,0.86,0.88,698
HThand_vs_handbbox,iou,0.88,0.9,815
HThand_vs_handbbox,iou,0.9,0.92,1089
HThand_vs_handbbox,iou,0.92,0.94,1500
HThand_vs_handbbox,iou,0.94,0.96,2246
HThand_vs_handbbox,iou,0.96,0.98,3074
HThand_vs_handbbox,iou,0.98,1.0,1156
HThand_vs_handbbox,inclusion,0.0,0.02,77
HThand_vs_handbbox,inclusion,0.02,0.04,59
HThand_vs_handbbox,inclusion,0.04,0.06,70
HThand_vs_handbbox,inclusion,0.06,0.08,78
HThand_vs_handbbox,inclusion,0.08,0.1,77
HThand_vs_handbbox,inclusion,0.1,0.12,80
HThand_vs_handbbox,inclusion,0.12,0.14,72
HThand_vs_handbbox,inclusion,0.14,0.16,78
HThand_vs_handbbox,inclusion,0.16,0.18,99
HThand_vs_handbbox,inclusion,0.18,0.2,103
HThand_vs_handbbox,inclusion,0.2,0.22,91
HThand_vs_handbbox,inclusion,0.22,0.24,98
HThand_vs_handbbox,inclusion,0.24,0.26,100
HThand_vs_handbbox,inclusion,0.26,0.28,103
HThand_vs_handbbox,inclusion,0.28,0.3,108
HThand_vs_handbbox,inclusion,0.3,0.32,112
HThand_vs_handbbox,inclusion,0.32,0.34,123
HThand_vs_handbbox,inclusion,0.34,0.36,108
HThand_vs_handbbox,inclusion,0.36,0.38,125
HThand_vs_handbbox,inclusion,0.38,0.4,91
HThand_vs_handbbox,inclusion,0.4,0.42,114
HThand_vs_handbbox,inclusion,0.42,0.44,127
HThand_vs_handbbox,inclusion,0.44,0.46,128
HThand_vs_handbbox,inclusion,0.46,0.48,125
HThand_vs_handbbox,inclusion,0.48,0.5,124
HThand_vs_handbbox,inclusion,0.5,0.52,131
HThand_vs_handbbox,inclusion,0.52,0.54,138
HThand_vs_handbbox,inclusion,0.54,0.56,123
HThand_vs_handbbox,inclusion,0.56,0.58,148
HThand_vs_handbbox,inclusion,0.58,0.6,131
HThand_vs_handbbox,inclusion,0.6,0.62,136
HThand_vs_handbbox,inclusion,0.62,0.64,142
HThand_vs_handbbox,inclusion,0.64,0.66,151
HThand_vs_handbbox,inclusion,0.66,0.68,155
HThand_vs_handbbox,inclusion,0.68,0.7,178
HThand_vs_handbbox,inclusion,0.7,0.72,189
HThand_vs_handbbox,inclusion,0.72,0.74,201
HThand_vs_handbbox,inclusion,0.74,0.76,193
HThand_vs_handbbox,inclusion,0.76,0.78,217
HThand_vs_handbbox,inclusion,0.78,0.8,264
HThand_vs_handbbox,inclusion,0.8,0.82,263
HThand_vs_handbbox,inclusion,0.82,0.84,288
HThand_vs_handbbox,inclusion,0.84,0.86,351
HThand_vs_handbbox,inclusion,0.86,0.88,402
HThand_vs_handbbox,inclusion,0.88,0.9,495
HThand_vs_handbbox,inclusion,0.9,0.92,530
HThand_vs_handbbox,inclusion,0.92,0.94,585
HThand_vs_handbbox,inclusion,0.94,0.96,679
HThand_vs_handbbox,inclusion,0.96,0.98,808
HThand_vs_handbbox,inclusion,0.98,1.0,9961
HThand_vs_handbbox,fill,0.0,0.02,7
HThand_vs_handbbox,fill,0.02,0.04,22
HThand_vs_handbbox,fill,0.04,0.06,38
HThand_vs_handbbox,fill,0.06,0.08,45
HThand_vs_handbbox,fill,0.08,0.1,51
HThand_vs_handbbox,fill,0.1,0.12,50
HThand_vs_handbbox,fill,0.12,0.14,55
HThand_vs_handbbox,fill,0.14,0.16,57
HThand_vs_handbbox,fill,0.16,0.18,62
HThand_vs_handbbox,fill,0.18,0.2,99
HThand_vs_handbbox,fill,0.2,0.22,88
HThand_vs_handbbox,fill,0.22,0.24,105
HThand_vs_handbbox,fill,0.24,0.26,107
HThand_vs_handbbox,fill,0.26,0.28,123
HThand_vs_handbbox,fill,0.28,0.3,115
HThand_vs_handbbox,fill,0.3,0.32,168
HThand_vs_handbbox,fill,0.32,0.34,206
HThand_vs_handbbox,fill,0.34,0.36,293
HThand_vs_handbbox,fill,0.36,0.38,402
HThand_vs_handbbox,fill,0.38,0.4,441
HThand_vs_handbbox,fill,0.4,0.42,458
HThand_vs_handbbox,fill,0.42,0.44,527
HThand_vs_handbbox,fill,0.44,0.46,606
HThand_vs_handbbox,fill,0.46,0.48,695
HThand_vs_handbbox,fill,0.48,0.5,766
HThand_vs_handbbox,fill,0.5,0.52,886
HThand_vs_handbbox,fill,0.52,0.54,1020
HThand_vs_handbbox,fill,0.54,0.56,1069
HThand_vs_handbbox,fill,0.56,0.58,1204
HThand_vs_handbbox,fill,0.58,0.6,1199
HThand_vs_handbbox,fill,0.6,0.62,1016
HThand_vs_handbbox,fill,0.62,0.64,973
HThand_vs_handbbox,fill,0.64,0.66,906
HThand_vs_handbbox,fill,0.66,0.68,669
HThand_vs_handbbox,fill,0.68,0.7,632
HThand_vs_handbbox,fill,0.7,0.72,508
HThand_vs_handbbox,fill,0.72,0.74,442
HThand_vs_handbbox,fill,0.74,0.76,349
HThand_vs_handbbox,fill,0.76,0.78,248
HThand_vs_handbbox,fill,0.78,0.8,205
HThand_vs_handbbox,fill,0.8,0.82,166
HThand_vs_handbbox,fill,0.82,0.84,143
HThand_vs_handbbox,fill,0.84,0.86,114
HThand_vs_handbbox,fill,0.86,0.88,82
HThand_vs_handbbox,fill,0.88,0.9,71
HThand_vs_handbbox,fill,0.9,0.92,76
HThand_vs_handbbox,fill,0.92,0.94,81
HThand_vs_handbbox,fill,0.94,0.96,66
HThand_vs_handbbox,fill,0.96,0.98,65
HThand_vs_handbbox,fill,0.98,1.0,1553
