split,frame,hand_slot,recovered_tool,containment,margin,img_h,img_w
train,06_1_1223,Left Hand Tool,Tweezers,0.991,0.991,1080,1920
train,06_1_1016,Right Hand Tool,Scissors,0.9973,0.9622,1080,1920
train,08_1_0416,Left Hand Tool,Tweezers,0.9793,0.6074,1080,1920
train,01_1_0540,Right Hand Tool,Scissors,0.991,0.9855,1080,1920
train,15_1_0417,Left Hand Tool,Tweezers,0.9983,0.9983,1080,1920
train,08_1_1442,Left Hand Tool,Mouth Gag,1.0,0.8085,1080,1920
train,01_1_0679,Right Hand Tool,Tweezers,0.9872,0.9872,1080,1920
train,02_1_0759,Right Hand Tool,Tweezers,0.9979,0.9965,1080,1920
train,13_1_0213,Left Hand Tool,Tweezers,1.0,0.9614,1080,1920
train,13_1_0833,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,01_1_1171,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0696,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,15_1_0192,Right Hand Tool,Syringe,1.0,1.0,1080,1920
train,02_1_0445,Right Hand Tool,Gauze,0.9958,0.9958,1080,1920
train,11_1_1096,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,13_1_0192,Right Hand Tool,Electric Cautery,1.0,0.8557,1080,1920
train,06_1_1129,Left Hand Tool,Tweezers,0.9983,0.6348,1080,1920
train,02_1_0376,Right Hand Tool,Scalpel,0.9989,0.7928,1080,1920
train,11_1_1108,Right Hand Tool,Needle Holders,1.0,1.0,1080,1920
train,06_1_0381,Left Hand Tool,Suction Cannula,1.0,0.5364,1080,1920
train,13_1_0785,Right Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,01_1_1062,Left Hand Tool,Tweezers,0.9877,0.9877,1080,1920
train,01_1_0309,Right Hand Tool,Scalpel,1.0,1.0,1080,1920
train,02_1_0765,Two Hands Tool,Tweezers,1.0,0.7776,1080,1920
train,12_1_0494,Two Hands Tool,Suction Cannula,1.0,0.784,1080,1920
train,08_1_0497,Right Hand Tool,Scissors,0.992,0.4819,1080,1920
train,01_1_1209,Left Hand Tool,Tweezers,0.9996,0.9991,1080,1920
train,08_1_0685,Left Hand Tool,Tweezers,0.9857,0.3545,1080,1920
train,01_1_1103,Left Hand Tool,Tweezers,0.9979,0.9957,1080,1920
train,13_1_0627,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,12_1_0509,Left Hand Tool,Hook,1.0,0.9858,1080,1920
train,08_1_1608,Right Hand Tool,Needle Holders,0.9986,0.8203,1080,1920
train,12_1_1180,Right Hand Tool,Suction Cannula,1.0,1.0,1080,1920
train,12_1_0426,Left Hand Tool,Hook,1.0,1.0,1080,1920
train,11_1_0853,Right Hand Tool,Bipolar Forceps,1.0,0.6864,1080,1920
train,08_1_0576,Left Hand Tool,Tweezers,0.9911,0.2427,1080,1920
train,15_1_0597,Right Hand Tool,Raspatory,1.0,1.0,1080,1920
train,13_1_0169,Right Hand Tool,Scissors,1.0,1.0,1080,1920
train,11_1_0379,Right Hand Tool,Gauze,1.0,1.0,1080,1920
train,13_1_0672,Left Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,06_1_0456,Left Hand Tool,Tweezers,0.993,0.907,1080,1920
train,01_1_1251,Left Hand Tool,Tweezers,0.9957,0.9917,1080,1920
train,01_1_0410,Left Hand Tool,Tweezers,0.9979,0.7414,1080,1920
train,13_1_0351,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,06_1_0305,Two Hands Tool,Syringe,0.9519,0.7853,1080,1920
train,13_1_0764,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,02_1_0422,Right Hand Tool,Scissors,0.9921,0.8694,1080,1920
train,11_1_0403,Left Hand Tool,Tweezers,1.0,0.8429,1080,1920
train,08_1_1338,Left Hand Tool,Needle Holders,0.0,0.0,1080,1920
train,15_1_0654,Left Hand Tool,Tweezers,0.9984,0.9984,1080,1920
train,12_1_0487,Two Hands Tool,Suction Cannula,1.0,0.8798,1080,1920
train,13_1_0581,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,13_1_0350,Left Hand Tool,Electric Cautery,0.0,0.0,1080,1920
train,13_1_0467,Right Hand Tool,Electric Cautery,1.0,0.9978,1080,1920
train,13_1_0999,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0642,Left Hand Tool,Gauze,0.9604,0.5152,1080,1920
train,06_1_0682,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0383,Right Hand Tool,Bipolar Forceps,0.9874,0.9874,1080,1920
train,01_1_0510,Left Hand Tool,Tweezers,0.9905,0.9905,1080,1920
train,13_1_1170,Left Hand Tool,Tweezers,1.0,1.0,1080,1920
train,01_1_0728,Left Hand Tool,Tweezers,0.9998,0.9998,1080,1920
train,12_1_0458,Right Hand Tool,Suction Cannula,1.0,0.8749,1080,1920
train,06_1_0925,Right Hand Tool,Raspatory,0.9974,0.8938,1080,1920
train,13_1_0994,Left Hand Tool,Tweezers,0.3253,0.3253,1080,1920
train,13_1_1025,Left Hand Tool,Tweezers,0.0791,0.0791,1080,1920
